ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin
32,02-050-F,2002,Cert Vi Proc,,The Devil Knows Why,2002-04-24 00:00:00.000,Fiction,,Supported,Eligible,0,0,,,['Roman Vavra'],,,,,,,
41,02-092-F,2002,True Blue (The Blue Dress),,True Blue,2002-10-02 00:00:00.000,Fiction,,Supported,Eligible,1,0,984747.0,,['Yiannis Diamantopoulos'],"[196949.0, 787798.0]","[45, 10548]","['BG ', 'GR ']","['Bulgaria', 'Greece']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
43,02-107-F1,2002,Mathilde,,Mathilde,2002-10-02 00:00:00.000,Fiction,,Supported,Eligible,1,0,6800000.0,,['Nina Mimica'],"[680000.0, 4080000.0, 680000.0, 1360000.0]","[81, 94, 151, 373]","['DE ', 'IT ', 'ES ', 'UK ']","['Germany', 'Italy', 'Spain', 'United Kingdom']","[0.1, 0.6, 0.1, 0.2]","[3, 1, 3, 2]","['Minority', 'Majority', 'Minority', 'Minority']"
45,02-118-F,2002,Waiting for the Clouds,En attendant les nuages,Waiting for the Clouds,2002-11-20 00:00:00.000,Fiction,,Supported,Eligible,0,0,,,['Yesim Ustaoglu'],,,,,,,
47,02-124-F,2002,Pas sur la bouche,,Not on the Lips,2002-11-20 00:00:00.000,Fiction,,Supported,Eligible,0,0,,,['Alain Resnais'],,,,,,,
51,03-003-F,2003,Zaman,,The time of the heart,2003-02-26 00:00:00.000,Fiction,,Supported,Eligible,0,0,1300008.0,,['Ali Ozgenturk'],"[1040000.0, 260008.0]","[31, 249]","['TR ', 'BG ']","['Türkiye', 'Bulgaria']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']"
57,03-029-F,2003,La Femme de Gilles,,Gille's Wife,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,0,0,3999843.0,,['Frederic Fonteyne'],"[1229805.0, 1600194.0, 1169844.0]","[25, 193, 297]","['BE ', 'FR ', 'LU ']","['Belgium', 'France', 'Luxembourg']","[0.30746, 0.40006, 0.29247]","[2, 1, 3]","['Minority', 'Majority', 'Minority']"
59,03-037-F,2003,O Milagre Segundo Salomé,Le miracle selon Salomé,The Miracle According to Salomé,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,0,0,1681929.0,,['Mario Barroso'],"[336385.0, 1345544.0]","[136, 205]","['FR ', 'PT ']","['France', 'Portugal']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']"
61,03-040-F,2003,The Paradise Girls,,Paradise Girls,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,0,0,1434009.0,,['Fow Pyng Hu'],"[1125534.0, 308475.0]","[234, 268]","['NL ', 'DE ']","['Netherlands', 'Germany']","[0.78489, 0.21511]","[1, 2]","['Majority', 'Minority']"
63,03-048-F,2003,Villa Henriette,,Villa Henriette,2003-04-16 00:00:00.000,Fiction,,Supported,Eligible,1,0,2160303.0,,['Peter Payer'],"[433050.0, 1727253.0]","[217, 228]","['CH ', 'AT ']","['Switzerland', 'Austria']","[0.20046, 0.79954]","[2, 1]","['Minority', 'Majority']"
